time,X,Y,Theta
0.0,0.96,0.72,0.0
0.0,0.96,0.76,0.0
0.0,0.96,0.8,0.0
0.0,0.96,0.84,0.0
0.0,0.96,0.88,0.0
0.0,0.96,0.92,0.0
0.0,0.96,0.96,0.0
0.0,0.96,1.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.04,0.0
0.0,1.0,0.08,0.0
0.0,1.0,0.12,0.0
0.0,1.0,0.16,0.0
0.0,1.0,0.2,0.0
0.0,1.0,0.24,0.0
0.0,1.0,0.28,0.0
0.0,1.0,0.32,0.0
0.0,1.0,0.36,0.0
0.0,1.0,0.4,0.0
0.0,1.0,0.44,0.0
0.0,1.0,0.48,0.0
0.0,1.0,0.52,0.0
0.0,1.0,0.56,0.0
0.0,1.0,0.6,0.0
0.0,1.0,0.64,0.0
0.0,1.0,0.68,0.0
0.0,1.0,0.72,0.0
0.0,1.0,0.76,0.0
0.0,1.0,0.8,0.0
0.0,1.0,0.84,0.0
0.0,1.0,0.88,0.0
0.0,1.0,0.92,0.0
0.0,1.0,0.96,0.0
0.0,1.0,1.0,0.0
0.25,0.0,0.0,-0.0005137048146898006
0.25,0.0,0.04,-0.0005137048146898006
0.25,0.0,0.08,-0.0005137048146898006
0.25,0.0,0.12,-0.0005137048146898007
0.25,0.0,0.16,-0.0005137048146898006
0.25,0.0,0.2,-0.0005137048146898006
0.25,0.0,0.24,-0.0005137048146898005
0.25,0.0,0.28,-0.0005137048146898007
0.25,0.0,0.32,-0.0005137048146898007
0.25,0.0,0.36,-0.0005137048146898007
0.25,0.0,0.4,-0.0005137048146898006
0.25,0.0,0.44,-0.0005137048146898006
0.25,0.0,0.48,-0.0005137048146898007
0.25,0.0,0.52,-0.0005137048146898006
0.25,0.0,0.56,-0.0005137048146898006
0.25,0.0,0.6,-0.0005137048146898006
0.25,0.0,0.64,-0.0005137048146898006
0.25,0.0,0.68,-0.0005137048146898007
0.25,0.0,0.72,-0.0005137048146898006
0.25,0.0,0.76,-0.0005137048146898005
0.25,0.0,0.8,-0.0005137048146898006
0.25,0.0,0.84,-0.0005137048146898007
0.25,0.0,0.88,-0.0005137048146898007
0.25,0.0,0.92,-0.0005137048146898006
0.25,0.0,0.96,-0.0005137048146898006
0.25,0.0,1.0,-0.0005137048146898007
0.25,0.04,0.0,0.0005090281257130704
0.25,0.04,0.04,0.0005090281257130704
0.25,0.04,0.08,0.0005090281257130703
0.25,0.04,0.12,0.0005090281257130705
0.25,0.04,0.16,0.0005090281257130703
0.25,0.04,0.2,0.0005090281257130704
0.25,0.04,0.24,0.0005090281257130703
0.25,0.04,0.28,0.0005090281257130705
0.25,0.04,0.32,0.0005090281257130703
0.25,0.04,0.36,0.0005090281257130704
0.25,0.04,0.4,0.0005090281257130703
0.25,0.04,0.44,0.0005090281257130704
0.25,0.04,0.48,0.0005090281257130704
0.25,0.04,0.52,0.0005090281257130704
